Epoch :125	 Loss:0.283250	 Accuracy:493.750 OA:74.38	 AA:84.19
Epoch :126	 Loss:0.349236	 Accuracy:493.750 OA:74.39	 AA:84.26
Epoch :127	 Loss:0.396428	 Accuracy:493.750 OA:74.20	 AA:84.24
Epoch :128	 Loss:0.255210	 Accuracy:493.750 OA:74.20	 AA:84.24
Epoch :129	 Loss:0.459337	 Accuracy:487.500 OA:74.09	 AA:84.20
Epoch :130	 Loss:0.295998	 Accuracy:493.750 OA:74.30	 AA:84.32
Epoch :131	 Loss:0.328876	 Accuracy:493.750 OA:74.33	 AA:84.25
Epoch :132	 Loss:0.294828	 Accuracy:493.750 OA:74.18	 AA:84.20
Epoch :133	 Loss:0.379936	 Accuracy:493.750 OA:74.09	 AA:84.11
Epoch :134	 Loss:0.288465	 Accuracy:493.750 OA:74.05	 AA:84.13
Epoch :135	 Loss:0.419272	 Accuracy:487.500 OA:74.05	 AA:84.07
Epoch :136	 Loss:0.365965	 Accuracy:493.750 OA:73.96	 AA:84.03
Epoch :137	 Loss:0.247310	 Accuracy:493.750 OA:74.26	 AA:84.14
Epoch :138	 Loss:0.416277	 Accuracy:493.750 OA:74.15	 AA:84.01
Epoch :139	 Loss:0.226779	 Accuracy:493.750 OA:74.22	 AA:83.98
Epoch :140	 Loss:0.444948	 Accuracy:493.750 OA:74.30	 AA:84.11
Epoch :141	 Loss:0.495329	 Accuracy:493.750 OA:74.31	 AA:84.09
Epoch :142	 Loss:0.312942	 Accuracy:493.750 OA:74.37	 AA:84.06
Epoch :143	 Loss:0.522984	 Accuracy:487.500 OA:74.69	 AA:84.31
Epoch :144	 Loss:0.359326	 Accuracy:493.750 OA:74.59	 AA:84.26
Epoch :145	 Loss:0.231758	 Accuracy:493.750 OA:74.57	 AA:84.31
Epoch :146	 Loss:0.351002	 Accuracy:493.750 OA:74.55	 AA:84.30
Epoch :147	 Loss:0.230629	 Accuracy:493.750 OA:74.51	 AA:84.33
Epoch :148	 Loss:0.286236	 Accuracy:493.750 OA:74.49	 AA:84.45
Epoch :149	 Loss:0.282019	 Accuracy:493.750 OA:74.39	 AA:84.44
Epoch :150	 Loss:0.316242	 Accuracy:493.750 OA:74.33	 AA:84.42
Epoch :151	 Loss:0.307622	 Accuracy:493.750 OA:74.20	 AA:84.36
Epoch :152	 Loss:0.266880	 Accuracy:493.750 OA:74.29	 AA:84.38
Epoch :153	 Loss:0.308149	 Accuracy:493.750 OA:74.28	 AA:84.33
Epoch :154	 Loss:0.335171	 Accuracy:493.750 OA:74.30	 AA:84.30
Epoch :155	 Loss:0.298778	 Accuracy:493.750 OA:74.11	 AA:84.12
Epoch :156	 Loss:0.288702	 Accuracy:493.750 OA:74.12	 AA:84.07
Epoch :157	 Loss:0.366440	 Accuracy:493.750 OA:74.26	 AA:83.98
Epoch :158	 Loss:0.384969	 Accuracy:493.750 OA:74.33	 AA:84.07
Epoch :159	 Loss:0.242709	 Accuracy:493.750 OA:74.35	 AA:84.12
Epoch :160	 Loss:0.248037	 Accuracy:493.750 OA:74.42	 AA:84.14
Epoch :161	 Loss:0.393870	 Accuracy:487.500 OA:74.27	 AA:84.18
Epoch :162	 Loss:0.289711	 Accuracy:493.750 OA:74.27	 AA:84.22
Epoch :163	 Loss:0.297034	 Accuracy:493.750 OA:74.11	 AA:83.99
Epoch :164	 Loss:0.284975	 Accuracy:493.750 OA:74.23	 AA:84.10
Epoch :165	 Loss:0.320269	 Accuracy:493.750 OA:74.20	 AA:84.03
